,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,song_title
38,0.678,0.544,-9.468,0.0326,0.668,9.62e-06,0.103,0.963,122.735,171027,4,0.678,0.544,4,-9.468,0,0.0326,0.668,9.62e-06,0.103,0.963,122.735,audio_features,1GY8zOFi8rC39xXnD0tKO8,spotify:track:1GY8zOFi8rC39xXnD0tKO8,https://api.spotify.com/v1/tracks/1GY8zOFi8rC39xXnD0tKO8,https://api.spotify.com/v1/audio-analysis/1GY8zOFi8rC39xXnD0tKO8,171027,4,Fontella Bass,Rescue Me
39,0.592,0.355,-14.051,0.0352,0.478,0.0,0.0585,0.499,133.032,216773,2,0.592,0.355,9,-14.051,1,0.0352,0.478,0.0,0.0585,0.499,133.032,audio_features,3NfxSdJnVdon1axzloJgba,spotify:track:3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/tracks/3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/audio-analysis/3NfxSdJnVdon1axzloJgba,216773,4,Aretha Franklin,I Say a Little Prayer
40,0.572,0.365,-7.583,0.0276,0.88,0.0,0.125,0.41,96.022,165733,2,0.572,0.365,4,-7.583,0,0.0276,0.88,0.0,0.125,0.41,96.022,audio_features,1XPj5quoeV5Gd0paSUDpvm,spotify:track:1XPj5quoeV5Gd0paSUDpvm,https://api.spotify.com/v1/tracks/1XPj5quoeV5Gd0paSUDpvm,https://api.spotify.com/v1/audio-analysis/1XPj5quoeV5Gd0paSUDpvm,165733,4,Sam Cooke,You Send Me - Mono
41,0.81,0.76,-4.368,0.0411,0.00281,0.002,0.101,0.945,133.251,160701,4,0.81,0.76,7,-4.368,1,0.0411,0.00281,0.002,0.101,0.945,133.251,audio_features,2vroaTJq214LCxTtRGzrFf,spotify:track:2vroaTJq214LCxTtRGzrFf,https://api.spotify.com/v1/tracks/2vroaTJq214LCxTtRGzrFf,https://api.spotify.com/v1/audio-analysis/2vroaTJq214LCxTtRGzrFf,160701,4,Lee Fields & The Expressions,Thinking About You
42,0.62,0.763,-4.908,0.0311,0.0615,0.0,0.289,0.718,119.534,182467,4,0.62,0.763,3,-4.908,0,0.0311,0.0615,0.0,0.289,0.718,119.534,audio_features,0PpamSdfQzIAvj5OB9Bz54,spotify:track:0PpamSdfQzIAvj5OB9Bz54,https://api.spotify.com/v1/tracks/0PpamSdfQzIAvj5OB9Bz54,https://api.spotify.com/v1/audio-analysis/0PpamSdfQzIAvj5OB9Bz54,182467,4,Four Tops,Reach Out I'll Be There - Single Version / Mono
43,0.372,0.642,-11.955,0.0594,0.0947,0.0,0.117,0.705,198.731,190058,3,0.372,0.642,11,-11.955,1,0.0594,0.0947,0.0,0.117,0.705,198.731,audio_features,1l1YTy9nJ0trwhsCGcimly,spotify:track:1l1YTy9nJ0trwhsCGcimly,https://api.spotify.com/v1/tracks/1l1YTy9nJ0trwhsCGcimly,https://api.spotify.com/v1/audio-analysis/1l1YTy9nJ0trwhsCGcimly,190058,4,The Spinners,It's A Shame
44,0.582,0.424,-6.367,0.0702,0.637,0.0,0.099,0.478,92.286,210454,2,0.582,0.424,8,-6.367,1,0.0702,0.637,0.0,0.099,0.478,92.286,audio_features,1rbykFoRXzj8yEG1Wyu6FC,spotify:track:1rbykFoRXzj8yEG1Wyu6FC,https://api.spotify.com/v1/tracks/1rbykFoRXzj8yEG1Wyu6FC,https://api.spotify.com/v1/audio-analysis/1rbykFoRXzj8yEG1Wyu6FC,210454,4,RuthAnne,Love Again
45,0.595,0.643,-9.275,0.0365,0.76,0.0,0.538,0.73,135.633,158040,5,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.538,0.73,135.633,audio_features,5uES1C2NgkdrNHiCwf9jRr,spotify:track:5uES1C2NgkdrNHiCwf9jRr,https://api.spotify.com/v1/tracks/5uES1C2NgkdrNHiCwf9jRr,https://api.spotify.com/v1/audio-analysis/5uES1C2NgkdrNHiCwf9jRr,158040,4,The Supremes,Baby Love
46,0.632,0.569,-5.75,0.0307,0.123,0.00131,0.145,0.584,139.914,156307,1,0.632,0.569,2,-5.75,0,0.0307,0.123,0.00131,0.145,0.584,139.914,audio_features,6cy84k8xqRXe2II7DQ1XVj,spotify:track:6cy84k8xqRXe2II7DQ1XVj,https://api.spotify.com/v1/tracks/6cy84k8xqRXe2II7DQ1XVj,https://api.spotify.com/v1/audio-analysis/6cy84k8xqRXe2II7DQ1XVj,156307,4,The Elgins,Heaven Must Have Sent You
47,0.588,0.568,-9.766,0.0672,0.16,0.0,0.0792,0.952,106.938,232760,4,0.588,0.568,6,-9.766,1,0.0672,0.16,0.0,0.0792,0.952,106.938,audio_features,4pNiE4LCVV74vfIBaUHm1b,spotify:track:4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/tracks/4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/audio-analysis/4pNiE4LCVV74vfIBaUHm1b,232760,4,Stevie Wonder,Sir Duke
