,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,song_title
1482,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Sea Girls,Violet
1483,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Kanye West,Devil In A New Dress
1484,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Two Door Cinema Club,Changing of the Seasons
1485,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Two Door Cinema Club,Are We Ready? (Wreck)
1486,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Two Door Cinema Club,Lavender
1487,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Two Door Cinema Club,Sun
1488,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Two Door Cinema Club,This Is the Life
1489,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Catfish and the Bottlemen,7
1490,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Kendrick Lamar,Money Trees
1491,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Disclosure,Omen - Radio Edit
1492,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Disclosure,Magnets
1493,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Disclosure,Latch
1494,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,HONNE,Take You High
1495,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Arctic Monkeys,Mad Sounds
1496,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Arctic Monkeys,Teddy Picker
1497,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Arctic Monkeys,D is for Dangerous
1498,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Arctic Monkeys,Balaclava
1499,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Arctic Monkeys,This House is a Circus
1500,0.328,0.805,4,-6.74,0,0.0383,0.000938,0.048,0.104,0.264,135.546,audio_features,0idZZsnM7nuSYanlpKTuwV,spotify:track:0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/tracks/0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/audio-analysis/0idZZsnM7nuSYanlpKTuwV,276200,4,Arctic Monkeys,"If You Were There, Beware"
1501,0.328,0.805,4,-6.74,0,0.0383,0.000938,0.048,0.104,0.264,135.546,audio_features,0idZZsnM7nuSYanlpKTuwV,spotify:track:0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/tracks/0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/audio-analysis/0idZZsnM7nuSYanlpKTuwV,276200,4,Arctic Monkeys,The Bad Thing
1502,0.328,0.805,4,-6.74,0,0.0383,0.000938,0.048,0.104,0.264,135.546,audio_features,0idZZsnM7nuSYanlpKTuwV,spotify:track:0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/tracks/0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/audio-analysis/0idZZsnM7nuSYanlpKTuwV,276200,4,Rex Orange County,Corduroy Dreams
1503,0.328,0.805,4,-6.74,0,0.0383,0.000938,0.048,0.104,0.264,135.546,audio_features,0idZZsnM7nuSYanlpKTuwV,spotify:track:0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/tracks/0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/audio-analysis/0idZZsnM7nuSYanlpKTuwV,276200,4,The Prodigy,Firestarter
1504,0.328,0.805,4,-6.74,0,0.0383,0.000938,0.048,0.104,0.264,135.546,audio_features,0idZZsnM7nuSYanlpKTuwV,spotify:track:0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/tracks/0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/audio-analysis/0idZZsnM7nuSYanlpKTuwV,276200,4,The Prodigy,Breathe
1505,0.328,0.805,4,-6.74,0,0.0383,0.000938,0.048,0.104,0.264,135.546,audio_features,0idZZsnM7nuSYanlpKTuwV,spotify:track:0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/tracks/0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/audio-analysis/0idZZsnM7nuSYanlpKTuwV,276200,4,The Prodigy,Smack My Bitch Up
1506,0.328,0.805,4,-6.74,0,0.0383,0.000938,0.048,0.104,0.264,135.546,audio_features,0idZZsnM7nuSYanlpKTuwV,spotify:track:0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/tracks/0idZZsnM7nuSYanlpKTuwV,https://api.spotify.com/v1/audio-analysis/0idZZsnM7nuSYanlpKTuwV,276200,4,A Tribe Called Quest,Can I Kick It?
